"contamination","site"
0.09,"cleanup"
0.09,"cleanup"
0.09,"cleanup"
0.12,"cleanup"
0.12,"cleanup"
0.14,"cleanup"
0.16,"cleanup"
0.17,"cleanup"
0.17,"cleanup"
0.17,"cleanup"
0.18,"cleanup"
0.19,"cleanup"
0.2,"cleanup"
0.2,"cleanup"
0.21,"cleanup"
0.21,"cleanup"
0.22,"cleanup"
0.22,"cleanup"
0.22,"cleanup"
0.23,"cleanup"
0.24,"cleanup"
0.25,"cleanup"
0.25,"cleanup"
0.25,"cleanup"
0.25,"cleanup"
0.26,"cleanup"
0.28,"cleanup"
0.28,"cleanup"
0.29,"cleanup"
0.31,"cleanup"
0.33,"cleanup"
0.33,"cleanup"
0.33,"cleanup"
0.34,"cleanup"
0.37,"cleanup"
0.38,"cleanup"
0.39,"cleanup"
0.4,"cleanup"
0.43,"cleanup"
0.43,"cleanup"
0.47,"cleanup"
0.48,"cleanup"
0.48,"cleanup"
0.49,"cleanup"
0.51,"cleanup"
0.51,"cleanup"
0.54,"cleanup"
0.6,"cleanup"
0.61,"cleanup"
0.62,"cleanup"
0.75,"cleanup"
0.82,"cleanup"
0.85,"cleanup"
0.92,"cleanup"
0.94,"cleanup"
1.05,"cleanup"
1.1,"cleanup"
1.1,"cleanup"
1.19,"cleanup"
1.22,"cleanup"
1.33,"cleanup"
1.39,"cleanup"
1.39,"cleanup"
1.52,"cleanup"
1.53,"cleanup"
1.73,"cleanup"
2.35,"cleanup"
2.46,"cleanup"
2.59,"cleanup"
2.61,"cleanup"
3.06,"cleanup"
3.29,"cleanup"
5.56,"cleanup"
6.61,"cleanup"
18.4,"cleanup"
51.97,"cleanup"
168.64,"cleanup"
0.22,"reference"
0.23,"reference"
0.26,"reference"
0.27,"reference"
0.28,"reference"
0.28,"reference"
0.29,"reference"
0.33,"reference"
0.34,"reference"
0.35,"reference"
0.38,"reference"
0.39,"reference"
0.39,"reference"
0.42,"reference"
0.42,"reference"
0.43,"reference"
0.45,"reference"
0.46,"reference"
0.48,"reference"
0.5,"reference"
0.51,"reference"
0.5,"reference"
0.52,"reference"
0.54,"reference"
0.56,"reference"
0.56,"reference"
0.57,"reference"
0.57,"reference"
0.6,"reference"
0.62,"reference"
0.63,"reference"
0.67,"reference"
0.69,"reference"
0.72,"reference"
0.74,"reference"
0.76,"reference"
0.79,"reference"
0.81,"reference"
0.82,"reference"
0.84,"reference"
0.89,"reference"
1.11,"reference"
1.13,"reference"
1.14,"reference"
1.14,"reference"
1.2,"reference"
1.33,"reference"
